tax	DEPbarcode1	DEPbarcode2	DEPbarcode3	DEPbarcode4	ENRbarcode1	ENRbarcode2	ENRbarcode3	ENRbarcode4	NORMbarcode1	NORMbarcode2	NORMbarcode3	NORMbarcode4	total
Bacteria;Bacteria_none;Mycoplasmatota;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasmopsis;Mycoplasmopsis californica	0	0	0	0	0	1	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Mycoplasmatota;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;Mycoplasma phocoenae	0	0	0	0	0	1	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Mycoplasmatota;Mollicutes;Entomoplasmatales;Spiroplasmataceae;Spiroplasma;Spiroplasma diminutum	0	0	0	0	0	0	0	1	0	0	0	0	1
Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium hominis	0	0	0	0	1	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus soli (ex Cha et al. 2016)	0	0	0	0	1	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Stieleria;Stieleria maiorica	0	1	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;Deinococcus metallilatus	0	0	0	0	0	1	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Synechococcales;Acaryochloridaceae;Acaryochloris;Acaryochloris marina	0	0	0	0	0	1	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Oscillatoriales;Coleofasciculaceae;Allocoleopsis;Allocoleopsis franciscana	0	0	0	0	0	1	0	0	0	0	0	0	1
Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Nostocales;Calotrichaceae;Calothrix;Calothrix sp. PCC 6303	0	0	0	0	0	0	1	0	0	0	0	0	1
